,distance,height,color
0,15.97048006889256,215.97072386833636,1
1,54.384260515782096,256.19707977425395,1
2,10.902530517888806,196.82987162476556,1
3,95.25420547678483,189.49283317604542,1
4,106.48149420465876,207.34341174891412,1
5,120.99237706563288,220.02851025255364,1
6,178.1014352040997,221.97849361054062,1
7,171.87310794920108,216.91268143546918,1
8,208.97576263956157,176.05695027927442,1
9,201.76397301466545,194.5176678926647,1
10,192.00676937693268,207.42600024417092,1
11,197.3358695987577,241.29621400020199,1
12,216.90382323479858,220.77554256785453,1
13,274.9836165534257,219.95409886282383,1
14,307.37637187665763,172.38757959173375,1
15,317.3973620637504,177.87070799276898,1
16,271.26177999399533,215.02406373536724,1
17,314.13030635765244,196.7767321186232,1
18,349.4472949189866,156.92093575390828,1
19,359.2797858935254,170.03786103359073,1
20,352.1666896937991,171.54392801826668,1
21,360.7806197522529,187.41918259963887,1
22,363.25327051582,230.88464819230325,1
23,373.51926172342496,152.0133193583471,1
24,401.53990308954667,226.88742848530254,1
25,406.43230598872117,177.16804625098763,1
26,456.8930620998127,204.62807037913097,1
27,466.37118941203033,203.42141947469466,1
28,470.06934922288946,220.16465928447246,1
29,455.79239974956965,202.25297240162388,1
30,551.4306752713295,200.0686901000244,1
31,473.88775789485845,160.15684592465254,1
32,497.4340638715132,159.23330307430302,1
33,508.1357736277769,187.2745535572866,1
34,540.7703549397168,192.00943880727368,1
35,546.3953714765261,163.25789165497508,1
36,573.0090436882875,233.0445261828916,1
37,578.0717733818315,177.06593118262575,1
38,572.5947316079142,201.17337572842118,1
39,578.4094854166591,174.20625772018658,1
40,590.7615615058837,184.38562011769244,1
41,679.4316595712751,178.5677337391611,1
42,634.1153229027882,189.2952165258912,1
43,654.8970444333605,169.98085653439423,1
44,611.8575430099479,193.08229154415542,1
45,623.5349059280377,174.55921439522493,1
46,664.6727103984557,227.36644601776212,1
47,668.610953456953,183.7496867385633,1
48,697.5960729119495,183.32467472005348,1
49,628.7114365719882,205.41443959446687,1
50,661.6838115630119,212.12574690366569,1
51,676.5396033836204,214.74145956685825,1
52,634.266396902701,199.654445446984,1
53,666.2636292473247,187.91929875163976,1
54,659.8151807400224,235.7086319560226,1
55,701.906630400997,189.01544154908746,1
56,694.2228984548312,163.439326427161,1
57,735.8792678524164,178.24279741096484,1
58,674.3226377832393,153.7500194509639,1
59,707.3619257291767,198.26340298725967,1
60,738.4829075886709,188.02532714026958,1
61,706.5172454885304,185.34379992166558,1
62,704.5906466289913,156.02467105481844,1
63,714.8588566321623,173.01825721797317,1
64,713.6455428688594,205.84581893735643,1
65,710.5132702970282,249.41202541361028,1
66,734.887835707508,151.89628301889212,1
67,685.3615383196493,180.9848115417588,1
68,755.8066657632803,188.93141800828076,1
69,683.256104304602,176.53945130190348,1
70,685.8091484040767,186.97081150103241,1
71,660.9154372224896,161.16609414281382,1
72,679.6918267841563,165.2304475920449,1
73,647.4022422707583,193.69084994227245,1
74,589.0304973821093,185.69188726834957,1
75,601.3295884241437,197.90895341779,1
76,577.9449604932296,217.184646278994,1
77,545.3337545702583,183.94870018563117,1
78,514.5841982197741,183.36106928810426,1
79,507.47439911172796,140.17209433772922,1
80,464.2982962180501,134.7961005914243,1
81,497.46758845571884,176.72900498669773,1
82,467.9068392508677,212.2598689576308,1
83,450.7328270457657,201.36001136462482,1
84,446.0709087129498,201.68422469839916,1
85,480.80850558208886,171.45668180373508,1
86,431.6564287174138,212.92339239161674,1
87,428.77767354907064,166.63747947460575,1
88,394.65976775458654,181.06968425329097,1
89,390.88254603152086,154.1820339586121,1
90,393.237852600363,122.08322854722708,1
91,363.4065600871891,123.48662655775377,1
92,389.972901608804,202.7739911382171,1
93,319.95720161241263,243.1654025532065,1
94,337.0429991310759,210.06428273868926,1
95,313.03471036271907,149.9106164448778,1
96,312.8604776306018,172.13019074493434,1
97,261.57537742494867,170.96880432636732,1
98,275.16203680298383,150.69232789536397,1
99,304.25256682139167,172.23990498821564,1
100,274.536554266971,141.28045289095832,1
101,250.14315503138343,230.5928768274896,1
102,267.2718439499846,159.31611866075315,1
103,207.46731276076977,174.53551961237918,1
104,260.7432399300553,198.6797195849993,1
105,234.77865869473305,184.9223002248548,1
106,199.8372784567049,160.6377872520059,1
107,227.3504924416882,112.86262136275565,1
108,182.88498670275268,204.35141308605685,1
109,215.85551394210196,162.60336306993358,1
110,179.15240398978213,200.00536006121604,1
111,178.73234272712963,155.98654616390127,1
112,139.3504644513954,149.8804544164721,1
113,128.91935727755495,201.6083629842012,1
114,187.6061861766481,160.77939952370036,1
115,148.6674321572353,170.60371822072216,1
116,105.5728024328317,203.58240854429187,1
117,128.94283802451085,147.3559714816521,1
118,131.15499535436385,177.22875354863965,1
119,91.02915446276235,117.57992882759912,1
120,101.21286702823281,200.10050951531127,1
121,99.87894018906435,181.1132629886451,1
122,72.81976730183206,175.04038303833215,1
123,92.78177276006384,199.8637065811654,1
124,46.1959357198029,180.0938256190491,1
125,84.38437836792899,172.25184632449347,1
126,103.50327578947656,233.52635657296844,1
127,53.90169031303852,150.78364761115313,1
128,18.413886255675692,163.2760255747992,1
129,78.54892691335729,206.89597783962708,1
130,61.23458244785932,166.95987392048954,1
131,59.78875246930779,178.81532027997432,1
132,25.442016321325553,240.39403958185997,1
133,8.525630169665853,186.77321330654786,1
134,50.112318904909955,187.3056500213397,1
135,30.06236839517345,200.4314603479297,1
136,32.356984970295265,176.10638975973743,1
137,-0.03090006438816006,244.59512960926182,1
138,-2.2350862208031965,152.2565592428081,1
139,25.511472639007327,166.1722268463227,1
140,90.18893720034329,165.43238314603497,1
141,35.108691745863645,150.82554200735382,1
142,48.49121764095626,142.1089443199188,1
143,85.05433932206691,153.81196489656725,1
144,111.71131895174808,123.36139032654744,1
145,162.00903012537006,136.06480561638358,1
146,148.11473164457598,122.37875435892346,1
147,168.3166785710903,147.36972008129464,1
148,157.0326721757337,150.1083001848753,1
149,129.43420865788448,144.75762780524394,1
150,166.01494827720958,130.97650696787338,1
151,145.55441405942068,127.09202314168422,1
152,185.371466435676,120.31189456286506,1
153,173.46709376527733,161.89681035891743,1
154,156.64221804315324,107.57034769052272,1
155,144.88914132666312,154.95444752364074,1
156,183.69173920976658,122.44792948248232,1
157,164.56025182747425,151.10115316989828,1
158,202.2458307740212,109.28936080251322,1
159,216.85433789350085,114.55919812861003,1
160,262.7019041778355,129.68524281019512,1
161,289.9399768967021,132.78944969731356,1
162,280.35456685648893,122.88613355147136,1
163,328.45685165576856,79.20378093743095,1
164,292.58043135843457,136.26932520893155,1
165,322.27007677945227,127.19003032910645,1
166,284.08083952012686,115.77805874367522,1
167,346.4674167529665,166.59149378449854,1
168,328.42264815971816,182.1120538010837,1
169,351.84944664920874,173.26923629173706,1
170,344.48575902598463,181.31924487894472,1
171,337.09501189153684,153.5591798006673,1
172,354.363228715158,198.22937802724687,1
173,343.78279445653106,153.6093169031684,1
174,374.60639719271484,115.44572882403652,1
175,359.40436009645134,109.10563406785307,1
176,408.63315410269377,140.0572538404901,1
177,325.5961662517423,176.04402122640045,1
178,430.59027843221384,189.8235438967289,1
179,403.06219970564047,166.31562938099967,1
180,411.5366324519321,142.13997058218115,1
181,425.1296538268251,131.70556591776676,1
182,491.3386814070474,105.24694589178013,1
183,502.0325029588262,138.21271934251143,1
184,496.63631843619555,122.27825566952907,1
185,530.5875814976531,173.57369027974715,1
186,509.15587216939315,157.7555909371619,1
187,566.1960350818241,162.65732956872515,1
188,535.7383824090253,144.8905411875628,1
189,540.4412973400728,161.5617202985399,1
190,589.7558555466508,107.83385229997437,1
191,587.3568592347499,145.68609372185546,1
192,592.2381859653115,158.0357127324443,1
193,587.0292901130148,100.33355029268809,1
194,614.4844704119882,162.8324111882564,1
195,594.6652504558105,163.73925377759682,1
196,572.6323344960991,200.2939739431416,1
197,623.2912220901003,129.86006666952443,1
198,642.9886753429269,141.85835328848913,1
199,617.0621772100213,111.09982958273191,1
200,654.9923931189662,98.85591814417104,1
201,645.6906805999564,149.99565742666266,1
202,638.1604190679608,165.09073772715982,1
203,631.2326143354746,128.02823834047763,1
204,655.5246214150918,168.95768123088385,1
205,687.2745207901704,101.24556426016251,1
206,703.4112923679887,156.3918581874318,1
207,634.4594454063068,140.77857662557741,1
208,653.9202808000558,100.1623328123032,1
209,667.9337877504829,107.18689732566321,1
210,683.6113309974554,130.70535178711742,1
211,658.597881894164,139.62123156034468,1
212,708.2247912776386,124.46843822458669,1
213,684.1803154124636,148.98351228805026,1
214,702.376065847502,140.47612552378496,1
215,706.9797148031431,122.47707937456688,1
216,711.1008896570453,171.23554280302704,1
217,643.1260480659928,185.53685888408512,1
218,681.6345854552162,144.7660239384141,1
219,708.7794444588202,131.93640840386314,1
220,691.6496340256781,148.98357341349342,1
221,699.3141484231028,155.6991640416081,1
222,682.158056031481,135.8693912323502,1
223,629.7233714096038,127.00415475036488,1
224,705.8217429306194,156.1503449072918,1
225,715.5434725391278,106.58272644485879,1
226,648.8790089963878,76.54710083280389,1
227,700.8538822027682,128.19630228447448,1
228,661.5014502838987,85.5780813486928,1
229,634.8923859706822,58.55215082366403,1
230,679.7354316599735,84.07376554319006,1
231,552.6883116396958,84.01936568764614,1
232,558.3099958723819,107.63545032174484,1
233,522.3607158017187,89.87420625790419,1
234,580.5666423072965,92.11737285935902,1
235,521.0751083830148,65.91456675741142,1
236,517.9212776823276,104.68110210213354,1
237,542.331316717189,50.257980937492114,1
238,486.0316371709969,66.89355671114754,1
239,441.1892600329608,62.992354695769855,1
240,442.24482586566216,93.67993401307184,1
241,415.43515452883537,63.057637050662834,1
242,398.6595343413788,107.91587750191296,1
243,418.83859500755716,44.06519370536881,1
244,434.7971918838015,83.32041532032508,1
245,423.18166834729567,73.94519209816366,1
246,382.0016001771856,115.37334267666807,1
247,348.16265889343805,79.07135250336114,1
248,348.66586165911116,119.954214228193,1
249,361.7636753431639,93.52614201045373,1
250,321.29727531587406,126.52643175187404,1
251,313.17218539168886,92.04630432549341,1
252,303.787573106914,86.8589460302826,1
253,257.94486450377497,92.78527207038724,1
254,231.1231242602497,114.83088863002314,1
255,269.7084358201858,121.07724647751104,1
256,192.0247343772644,127.01197483397095,1
257,270.0725285440045,92.72425531321836,1
258,195.23208157445308,97.93189738024749,1
259,179.5175061561154,67.06664310733629,1
