x,y,z
15.970480068892561,215.97072386833634,b
54.3842605157821,256.19707977425395,b
10.902530517888803,196.82987162476553,b
95.25420547678485,189.4928331760454,b
106.48149420465876,207.34341174891415,b
120.99237706563287,220.02851025255364,b
178.1014352040997,221.97849361054062,b
171.8731079492011,216.9126814354692,b
208.9757626395616,176.05695027927442,b
201.76397301466542,194.5176678926647,b
192.0067693769327,207.42600024417095,b
197.33586959875774,241.29621400020199,b
216.9038232347986,220.77554256785453,b
274.9836165534257,219.9540988628238,b
307.3763718766576,172.38757959173375,b
317.3973620637504,177.87070799276898,b
271.26177999399533,215.02406373536724,b
314.13030635765244,196.77673211862322,b
349.4472949189866,156.92093575390828,b
359.2797858935254,170.03786103359073,b
352.1666896937991,171.54392801826668,b
360.78061975225285,187.41918259963887,b
363.25327051581996,230.88464819230325,b
373.519261723425,152.01331935834708,b
401.5399030895466,226.88742848530256,b
406.4323059887211,177.16804625098763,b
456.8930620998127,204.62807037913097,b
466.3711894120303,203.4214194746947,b
470.0693492228895,220.16465928447246,b
455.7923997495696,202.25297240162388,b
551.4306752713295,200.06869010002436,b
473.88775789485845,160.15684592465254,b
497.43406387151316,159.23330307430302,b
508.13577362777704,187.2745535572866,b
540.7703549397168,192.00943880727368,b
546.395371476526,163.25789165497508,b
573.0090436882875,233.04452618289156,b
578.0717733818315,177.06593118262577,b
572.5947316079142,201.17337572842115,b
578.4094854166591,174.20625772018656,b
590.7615615058837,184.38562011769244,b
679.4316595712751,178.5677337391611,b
634.1153229027881,189.2952165258912,b
654.8970444333605,169.98085653439426,b
611.8575430099479,193.08229154415545,b
623.5349059280378,174.5592143952249,b
664.6727103984557,227.3664460177621,b
668.610953456953,183.7496867385633,b
697.5960729119495,183.3246747200535,b
628.7114365719883,205.41443959446684,b
661.6838115630119,212.12574690366569,b
676.5396033836204,214.74145956685823,b
634.266396902701,199.65444544698397,b
666.2636292473248,187.91929875163976,b
659.8151807400224,235.7086319560226,b
701.906630400997,189.01544154908743,b
694.2228984548312,163.439326427161,b
735.8792678524164,178.24279741096484,b
674.3226377832394,153.75001945096392,b
707.3619257291768,198.26340298725967,b
738.4829075886707,188.0253271402696,b
706.5172454885305,185.34379992166555,b
704.5906466289912,156.02467105481844,b
714.8588566321624,173.0182572179732,b
713.6455428688594,205.8458189373564,b
710.5132702970283,249.41202541361028,b
734.887835707508,151.89628301889212,b
685.3615383196492,180.9848115417588,b
755.8066657632804,188.93141800828073,b
683.256104304602,176.5394513019035,b
685.8091484040768,186.97081150103241,b
660.9154372224896,161.1660941428138,b
679.6918267841564,165.23044759204492,b
647.4022422707583,193.69084994227245,b
589.0304973821093,185.69188726834955,b
601.3295884241437,197.90895341778997,b
577.9449604932296,217.18464627899397,b
545.3337545702583,183.9487001856312,b
514.5841982197741,183.36106928810426,b
507.47439911172796,140.17209433772922,b
464.29829621805004,134.7961005914243,b
497.4675884557188,176.72900498669776,b
467.9068392508677,212.25986895763077,b
450.73282704576565,201.36001136462482,b
446.07090871294986,201.68422469839913,b
480.80850558208886,171.45668180373508,b
431.6564287174138,212.92339239161674,b
428.7776735490707,166.63747947460575,b
394.65976775458654,181.06968425329097,b
390.8825460315208,154.18203395861207,b
393.237852600363,122.08322854722707,b
363.4065600871891,123.48662655775377,b
389.97290160880397,202.77399113821707,b
319.95720161241263,243.1654025532065,b
337.0429991310759,210.06428273868931,b
313.03471036271907,149.9106164448778,b
312.8604776306018,172.13019074493434,b
261.5753774249487,170.96880432636732,b
275.16203680298383,150.69232789536397,b
304.25256682139167,172.23990498821564,b
274.536554266971,141.28045289095832,b
250.14315503138343,230.5928768274896,b
267.2718439499846,159.31611866075315,b
207.46731276076977,174.53551961237918,b
260.7432399300553,198.6797195849993,b
234.77865869473305,184.92230022485478,b
199.83727845670495,160.63778725200592,b
227.3504924416882,112.86262136275565,b
182.88498670275268,204.35141308605688,b
215.85551394210194,162.60336306993355,b
179.15240398978213,200.00536006121604,b
178.73234272712963,155.98654616390127,b
139.3504644513954,149.8804544164721,b
128.91935727755495,201.60836298420122,b
187.6061861766481,160.77939952370036,b
148.6674321572353,170.60371822072216,b
105.57280243283168,203.58240854429187,b
128.94283802451085,147.3559714816521,b
131.15499535436385,177.22875354863965,b
91.02915446276236,117.57992882759913,b
101.21286702823281,200.10050951531127,b
99.87894018906435,181.1132629886451,b
72.81976730183206,175.04038303833215,b
92.78177276006384,199.8637065811654,b
46.19593571980289,180.09382561904908,b
84.38437836792899,172.2518463244935,b
103.50327578947656,233.52635657296844,b
53.901690313038515,150.78364761115313,b
18.41388625567569,163.27602557479918,b
78.54892691335729,206.8959778396271,b
61.23458244785931,166.95987392048954,b
59.78875246930778,178.81532027997434,b
25.442016321325553,240.39403958185994,b
8.525630169665853,186.77321330654786,b
50.11231890490995,187.30565002133972,b
30.06236839517345,200.43146034792971,b
32.356984970295265,176.10638975973745,b
-0.030900064388160065,244.5951296092618,b
-2.235086220803197,152.25655924280807,b
25.511472639007323,166.1722268463227,b
90.18893720034329,165.43238314603497,b
35.10869174586365,150.82554200735382,b
48.491217640956265,142.1089443199188,b
85.05433932206691,153.81196489656725,b
111.7113189517481,123.36139032654745,b
162.00903012537006,136.06480561638358,b
148.114731644576,122.37875435892346,b
168.3166785710903,147.36972008129464,b
157.03267217573367,150.1083001848753,b
129.43420865788448,144.75762780524394,b
166.01494827720958,130.97650696787338,b
145.5544140594207,127.09202314168425,b
185.37146643567598,120.31189456286506,b
173.4670937652773,161.89681035891743,b
156.64221804315326,107.57034769052274,b
144.88914132666312,154.95444752364074,b
183.69173920976658,122.44792948248232,b
164.56025182747425,151.10115316989828,b
202.24583077402116,109.28936080251322,b
216.85433789350088,114.55919812861003,b
262.7019041778355,129.68524281019512,b
289.93997689670215,132.78944969731356,b
280.3545668564889,122.88613355147135,b
328.45685165576856,79.20378093743096,b
292.58043135843457,136.26932520893155,b
322.27007677945227,127.19003032910643,b
284.0808395201269,115.77805874367522,b
346.4674167529665,166.59149378449854,b
328.42264815971816,182.11205380108373,b
351.84944664920874,173.26923629173706,b
344.48575902598463,181.3192448789447,b
337.0950118915369,153.55917980066727,b
354.36322871515796,198.22937802724687,b
343.78279445653106,153.6093169031684,b
374.6063971927149,115.44572882403651,b
359.40436009645134,109.10563406785309,b
408.6331541026938,140.0572538404901,b
325.5961662517423,176.04402122640045,b
430.5902784322138,189.8235438967289,b
403.06219970564047,166.31562938099967,b
411.5366324519321,142.13997058218115,b
425.1296538268251,131.70556591776676,b
491.3386814070473,105.24694589178011,b
502.03250295882617,138.21271934251143,b
496.6363184361955,122.27825566952907,b
530.5875814976531,173.57369027974715,b
509.1558721693931,157.7555909371619,b
566.1960350818241,162.65732956872517,b
535.7383824090253,144.8905411875628,b
540.4412973400728,161.5617202985399,b
589.7558555466507,107.83385229997435,b
587.3568592347499,145.68609372185546,b
592.2381859653115,158.03571273244427,b
587.0292901130147,100.33355029268807,b
